id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	UN VALIENTE EXPERIMENTO EN I/O CINEMA	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	CON CANCIONES Y SONIDOS DE	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	PARA FINES DE DEMOSTRACIÓN SOLAMENTE	
END_DEMO	Así finaliza la demo de	
SIDE_A	CARA A	
SIDE_B	CARA B	
ROTATE	¿ G I R A R ?	
INVENTORY_ROTATE	¿GIRAR?	
LOOK	MIRA	
LISTEN	ESCUCHA	
TOUCH	TOCA	
DREAM	SUEÑA	
TOUCH_ARROW_LEFT	< < TOCA	
TOUCH_ARROW_RIGHT	TOCA > >	
GUIDE_ARROW_LEFT	< < GUÍA	
GUIDE_ARROW_RIGHT	GUÍA > >	
OBSERVE	OBSERVA	
INVESTIGATE	INVESTIGA	
SHAKE	¿AGITAR?	
REFLECT	REFLEXIONA	
BELIEVE	CREE	
BEWARE	TEN CUIDADO	
FOLLOW	¿SEGUIR?	
ROTATE_UNSHEATHE	GIRA PARA DESENVAINAR	
GO_HOME	¿IR A CASA?	
START_ARROW_RIGHT	INICIO > > >	
TRESPASS	INFILTRATE	
AVOID	ESQUIVA	
CONSIDER	CONSIDERA	
PERSEVERE	PERSEVERA	
START_OVER	¿BORRAR PROGRESO?	
PROMPT_YES	SÍ	
PROMPT_NO	NO	
PROMPT_OK	ACEPTAR	
PROMPT_CANCEL	CANCELAR	
PROMPT_SUBMIT	ENVIAR	
PROMPT_DELETE_SAVE	¿QUIERES ELIMINAR TUS DATOS GUARDADOS? ¡SE PERDERÁ TODO EL PROGRESO!	
FULLSCREEN	PANTALLA COMPLETA	
FULLSCREEN_YES	SÍ	
FULLSCREEN_NO	NO	
VOLUME	VOLUMEN	
SETTINGS	CONFIGURACIÓN	
CLEAR_DATA	BORRAR DATOS	
KEEP_CHANGES	¿MANTENER CAMBIOS?	
KEEP_CHANGES_AUTO	¿MANTENER CAMBIOS? SE REVERTIRÁ EN	
GAME_RESTART_REQUIRED	HAY QUE REINICIAR PARA QUE LOS CAMBIOS SURTAN EFECTO	
TWITTER_BROADCAST	PUEDE QUE DESEES TRANSMITIR A TRAVÉS DE TWITTER	
TWITTER_SETTINGS	CONFIGURACIÓN	
TWITTER_TWEET	¿TUITEAR?	
TWITTER_SIGN_IN	INCIAR SESIÓN EN TWITTER	
TWITTER_USERNAME	NOMBRE DE USUARIO O CORREO	
TWITTER_PASSWORD	CONTRASEÑA	
TWITTER_NEVERMIND	VOLVER	
TWITTER_TWEETING	TUITEANDO...	
TWITTER_SIGNING_IN	ACCEDIENDO...	
TWITTER_SUCCESS	¡CONSEGUIDO!	
TWITTER_FAILED	FALLO	
TWITTER_WRONG_LOGIN	USUARIO O CONTRASEÑA INCORRECTA	
TWITTER_CONNECT_FAIL	CONEXIÓN FALLIDA	
TWITTER_SIGN_IN_ONLY	ACCEDER	
TWITTER_SIGN_OUT_ONLY	SALIR	
TWITTER_SIGNED_IN	YA HAS ACCEDIDO A TWITTER	
TWITTER_SIGNED_OUT	NO HAS ACCEDIDO A TWITTER	
TWITTER_FILL_OUT	"POR FAVOR, RELLENA TODOS LOS CAMPOS"	
EPITAPH	NO QUEDAN SECRETOS EN ESTAS MARISMAS MAEOTIANAS	
TWITTER_SELECT_BUTTON	SELECCIONAR	
TWITTER_SELECT_MSG	"POR FAVOR, SELECCIONA UNA CUENTA DE TWITTER"	
TWITTER_NO_ACCOUNTS	Configura Twitter en tu dispositivo	
TWITTER_REQUESTING	SOLICITANDO ACCESO…	
FIGHT	¿LUCHAR?	
DARKMOON_COUNT_9	LUNA SOMBRÍA EN 9 DÍAS	
DARKMOON	LUNA SOMBRÍA	
BRIGHTMOON	LUNA RADIANTE	
DARKMOON_BEFORE_NUM	LUNA SOMBRÍA EN 	
DARKMOON_AFTER_1	DÍA	
DARKMOON_AFTER_MORE	DÍAS	
BRIGHTMOON_BEFORE_NUM	LUNA RADIANTE EN 	
BRIGHTMOON_AFTER_1	DÍA	
BRIGHTMOON_AFTER_MORE	DÍAS	
TIME_PARADOX	* PARADOJA TEMPORAL *	
ERRAND_END	TU FUNESTO COMETIDO HA LLEGADO A SU FIN.	
BEWARE_BOOR	CUIDADO CON EL TOSCO PARDO	
MOVE_CONTROLS	TOCA Y MANTÉN PARA MOVERTE	
STOP_CONTROLS	¿TOC TOC PARA PARAR?	
STOP_CONTROLS_ARROW	< < ¿TOC TOC PARA PARAR?	
SLAY	¿ASESINAR?	
ZOOM_CONTROLS	< < <  ¿PELLIZCAR PARA ALEJAR? > > >	
LOOK_CONTROLS	TOCA Y DESLIZA PARA MIRAR	
LOOK_CONTROLS_2	DESLIZA PARA MIRAR ALREDEDOR	
TONGUE_TEXT	"Inclina, desenvaina y sostén tu espada escita en alto en el arcoíris durante unos segundos y ten fe"	
TOUCH_HOLD	TOCA Y MANTÉN	
TOUCH_HOLD_ARROW_LEFT	< < TOCA Y MANTÉN	
TOUCH_HOLD_ARROW_RIGHT	TOCA Y MANTÉN > >	
TIP_TAP_QUESTION	¿TOC TOC?	
TIP_TAP_ARROW_LEFT	< < TOC TOC	
TIP_TAP_ARROW_LEFT_Q	< < ¿TOC TOC?	
TIP_TAP_ARROW_RIGHT	TOC TOC > >	
RUB	FROTA	
QUIT	SALIR	
TAP_ARROW_LEFT	< < TOCA	
TAP_QUESTION	¿TOCAR?	
MOON_TIME_1	hace un instante	
MOON_TIME_2	hace no mucho	
MOON_TIME_3	hace ya un rato	
MOON_TIME_4	hace ya unos días	
MOON_TIME_5	hace ya algunas lunas	
MOON_TIME_6	hace ya mucho tiempo	
COSMIC_FRIENDS	A PARTIR DE ESTE MOMENTO, SEREMOS AMIGOS CÓSMICOS PARA SIEMPRE, ¿DE ACUERDO?	
The Scythian	La Escita	
Girl	Leyla	
Logfella	Troncucho	
Dogfella	Chucho	
The Archetype	El Arquetipo	
EXIT	SALIR	
RESOLUTION	RESOLUCIÓN	
RESET	REINICIAR	
PROMPT_CONFIRM_QUIT	¿SALIR AL MENÚ PRINCIPAL?	
APPLY	APLICAR	
BACK	VOLVER	
ERRMSG_UNABLE_TO_SAVE	No se puede guardar el archivo	
ERRMSG_UNABLE_TO_DELETE	No se puede borrar el archivo	
ERRMSG_UNABLE_TO_DELETE_STEAM	Un error impidió borrar el archivo de guardado de Steam.	
ERRMSG_UNABLE_TO_SAVE_STEAM	Un error impidió crear un archivo de guardado de Steam.	
ERRMSG_CORRUPT_SAVE_PROGRESS	Los datos guardados están corruptos y no fue posible leer la info. El juego reseteará todos los datos al presionar Aceptar.	
PROMPT_CONFIRM_EXITGAME	¿QUIERES SALIR DEL JUEGO?	
HASHTAG_SWORCERY	#sworcery	
DIGIT_STRING	123456789	
HOLD_SHIELD_TO_HEAL	MANTÉN ESCUDO PARA SANAR	
EXIT_TITLE	Salir de #sworcery?	
EXIT_PROMPT	¿En verdad quieres salir?	